Area,"CO2 (Mt)",Sector,Date
Anhui,0.262470,Aviation,2019-01
Beijing,0.252492,Aviation,2019-01
Chongqing,0.264950,Aviation,2019-01
Fujian,0.301515,Aviation,2019-01
Gansu,0.097853,Aviation,2019-01
Guangdong,0.289535,Aviation,2019-01
Guangxi,0.056942,Aviation,2019-01
Guizhou,0.188215,Aviation,2019-01
Hainan,0.014292,Aviation,2019-01
Hebei,0.249169,Aviation,2019-01
Heilongjiang,0.100817,Aviation,2019-01
Henan,0.144029,Aviation,2019-01
Hubei,0.121806,Aviation,2019-01
Hunan,0.106966,Aviation,2019-01
"Inner Mongolia",0.118990,Aviation,2019-01
Jiangsu,0.702783,Aviation,2019-01
Jiangxi,0.175721,Aviation,2019-01
Jilin,0.097834,Aviation,2019-01
Liaoning,0.212060,Aviation,2019-01
Ningxia,0.042072,Aviation,2019-01
Qinghai,0.033009,Aviation,2019-01
Shaanxi,0.289498,Aviation,2019-01
Shandong,0.502495,Aviation,2019-01
Shanghai,0.270604,Aviation,2019-01
Shanxi,0.120826,Aviation,2019-01
Sichuan,0.520381,Aviation,2019-01
Tianjin,0.100125,Aviation,2019-01
Tibet,0.019055,Aviation,2019-01
Xinjiang,0.152611,Aviation,2019-01
Yunnan,0.260661,Aviation,2019-01
Zhejiang,0.444948,Aviation,2019-01
Anhui,9.361356,Industry,2019-01
Beijing,0.553442,Industry,2019-01
Chongqing,3.592203,Industry,2019-01
Fujian,8.494753,Industry,2019-01
Gansu,2.547253,Industry,2019-01
Guangdong,15.203938,Industry,2019-01
Guangxi,8.163972,Industry,2019-01
Guizhou,11.370712,Industry,2019-01
Hainan,0.323525,Industry,2019-01
Hebei,45.708972,Industry,2019-01
Heilongjiang,2.255490,Industry,2019-01
Henan,11.101722,Industry,2019-01
Hubei,19.673577,Industry,2019-01
Hunan,6.927385,Industry,2019-01
"Inner Mongolia",5.647502,Industry,2019-01
Jiangsu,27.776737,Industry,2019-01
Jiangxi,6.674398,Industry,2019-01
Jilin,3.431099,Industry,2019-01
Liaoning,16.495507,Industry,2019-01
Ningxia,1.088503,Industry,2019-01
Qinghai,1.659843,Industry,2019-01
Shaanxi,4.725629,Industry,2019-01
Shandong,24.061649,Industry,2019-01
Shanghai,4.395916,Industry,2019-01
Shanxi,11.373100,Industry,2019-01
Sichuan,11.754739,Industry,2019-01
Tianjin,5.125401,Industry,2019-01
Tibet,0.074923,Industry,2019-01
Xinjiang,3.702348,Industry,2019-01
Yunnan,12.274567,Industry,2019-01
Zhejiang,11.316435,Industry,2019-01
Anhui,19.830461,Power,2019-01
Beijing,3.069393,Power,2019-01
Chongqing,3.435386,Power,2019-01
Fujian,6.898015,Power,2019-01
Gansu,8.981079,Power,2019-01
Guangdong,13.678077,Power,2019-01
Guangxi,5.536214,Power,2019-01
Guizhou,7.669542,Power,2019-01
Hainan,1.365016,Power,2019-01
Hebei,27.135138,Power,2019-01
Heilongjiang,6.386771,Power,2019-01
Henan,23.183941,Power,2019-01
Hubei,10.020831,Power,2019-01
Hunan,7.438707,Power,2019-01
"Inner Mongolia",33.113384,Power,2019-01
Jiangsu,32.269600,Power,2019-01
Jiangxi,7.156431,Power,2019-01
Jilin,4.963197,Power,2019-01
Liaoning,13.252688,Power,2019-01
Ningxia,9.500163,Power,2019-01
Qinghai,3.706998,Power,2019-01
Shaanxi,15.319219,Power,2019-01
Shandong,44.455910,Power,2019-01
Shanghai,5.082788,Power,2019-01
Shanxi,21.408819,Power,2019-01
Sichuan,3.170369,Power,2019-01
Tianjin,5.391693,Power,2019-01
