Area,"CO2 (Mt)",Sector,Date
Italy,1.887226,"Domestic Aviation",2019
Italy,91.125911,"Ground Transport",2019
Italy,54.386869,Industry,2019
Italy,5.715032,"International Aviation",2019
Italy,93.879124,Power,2019
Italy,74.953493,Residential,2019
Italy,316.232614,Total,2019
Italy,1.027712,"Domestic Aviation",2020
Italy,81.839577,"Ground Transport",2020
Italy,47.971335,Industry,2020
Italy,1.811689,"International Aviation",2020
Italy,86.740988,Power,2020
Italy,74.246697,Residential,2020
Italy,291.826304,Total,2020
Italy,1.446248,"Domestic Aviation",2021
Italy,90.644346,"Ground Transport",2021
Italy,54.450392,Industry,2021
Italy,2.254574,"International Aviation",2021
Italy,90.307884,Power,2021
Italy,77.773733,Residential,2021
Italy,314.622598,Total,2021
Italy,1.941626,"Domestic Aviation",2022
Italy,90.621589,"Ground Transport",2022
Italy,54.427713,Industry,2022
Italy,4.095066,"International Aviation",2022
Italy,101.209549,Power,2022
Italy,72.772042,Residential,2022
Italy,320.972520,Total,2022
Italy,1.962365,"Domestic Aviation",2023
Italy,92.771147,"Ground Transport",2023
Italy,53.279815,Industry,2023
Italy,5.140950,"International Aviation",2023
Italy,77.286164,Power,2023
Italy,71.537549,Residential,2023
Italy,296.837049,Total,2023
Italy,2.058976,"Domestic Aviation",2024
Italy,93.649568,"Ground Transport",2024
Italy,51.573840,Industry,2024
Italy,6.037243,"International Aviation",2024
Italy,66.412881,Power,2024
Italy,71.656945,Residential,2024
Italy,285.352214,Total,2024
