Area,"CO2 (Mt)",Sector,Date
Japan,9.013937,"Domestic Aviation",2019
Japan,178.220933,"Ground Transport",2019
Japan,268.825176,Industry,2019
Japan,9.801477,"International Aviation",2019
Japan,524.542940,Power,2019
Japan,108.312328,Residential,2019
Japan,1088.915345,Total,2019
Japan,6.135299,"Domestic Aviation",2020
Japan,167.564756,"Ground Transport",2020
Japan,240.806677,Industry,2020
Japan,4.674325,"International Aviation",2020
Japan,515.589370,Power,2020
Japan,108.409188,Residential,2020
Japan,1038.505270,Total,2020
Japan,5.905732,"Domestic Aviation",2021
Japan,172.089594,"Ground Transport",2021
Japan,253.932818,Industry,2021
Japan,4.537251,"International Aviation",2021
Japan,498.762025,Power,2021
Japan,107.431894,Residential,2021
Japan,1038.122079,Total,2021
Japan,8.455746,"Domestic Aviation",2022
Japan,179.038789,"Ground Transport",2022
Japan,253.571551,Industry,2022
Japan,4.899291,"International Aviation",2022
Japan,517.813121,Power,2022
Japan,111.303370,Residential,2022
Japan,1070.182568,Total,2022
Japan,9.061154,"Domestic Aviation",2023
Japan,182.900435,"Ground Transport",2023
Japan,250.380335,Industry,2023
Japan,7.589939,"International Aviation",2023
Japan,468.208411,Power,2023
Japan,103.942371,Residential,2023
Japan,1014.492687,Total,2023
Japan,9.287064,"Domestic Aviation",2024
Japan,188.087691,"Ground Transport",2024
Japan,243.736972,Industry,2024
Japan,9.008917,"International Aviation",2024
Japan,462.809245,Power,2024
Japan,105.398495,Residential,2024
Japan,1009.319481,Total,2024
