Area,"CO2 (Mt)",Sector,Date
America,173.726684,"Domestic Aviation",2019
America,1645.393063,"Ground Transport",2019
America,999.593909,Industry,2019
America,81.642590,"International Aviation",2019
America,1605.907498,Power,2019
America,605.181929,Residential,2019
America,5029.803007,Total,2019
America,120.984365,"Domestic Aviation",2020
America,1486.671441,"Ground Transport",2020
America,953.197787,Industry,2020
America,44.213370,"International Aviation",2020
America,1436.348233,Power,2020
America,556.161567,Residential,2020
America,4553.363321,Total,2020
America,158.896469,"Domestic Aviation",2021
America,1592.589011,"Ground Transport",2021
America,976.614820,Industry,2021
America,53.928422,"International Aviation",2021
America,1535.525340,Power,2021
America,564.169742,Residential,2021
America,4827.795300,Total,2021
America,152.629765,"Domestic Aviation",2022
America,1555.162514,"Ground Transport",2022
America,1025.060786,Industry,2022
America,66.376342,"International Aviation",2022
America,1643.245161,Power,2022
America,604.446462,Residential,2022
America,4980.544664,Total,2022
America,155.831667,"Domestic Aviation",2023
America,1570.178078,"Ground Transport",2023
America,1028.780620,Industry,2023
America,73.571454,"International Aviation",2023
America,1584.131796,Power,2023
America,525.704473,Residential,2023
America,4864.626646,Total,2023
America,160.966725,"Domestic Aviation",2024
America,1635.279677,"Ground Transport",2024
America,1024.766489,Industry,2024
America,79.480497,"International Aviation",2024
America,1608.615817,Power,2024
America,523.538995,Residential,2024
America,4953.167695,Total,2024
