Area,"CO2 (Mt)",Sector,Date
England,1.607834,"Domestic Aviation",2019
England,113.701374,"Ground Transport",2019
England,61.230934,Industry,2019
England,32.870966,"International Aviation",2019
England,76.703697,Power,2019
England,85.838166,Residential,2019
England,371.952967,Total,2019
England,0.859703,"Domestic Aviation",2020
England,104.289504,"Ground Transport",2020
England,62.382030,Industry,2020
England,13.360718,"International Aviation",2020
England,62.675492,Power,2020
England,83.823466,Residential,2020
England,327.390931,Total,2020
England,1.153236,"Domestic Aviation",2021
England,115.302049,"Ground Transport",2021
England,65.315043,Industry,2021
England,12.066856,"International Aviation",2021
England,71.492882,Power,2021
England,86.888328,Residential,2021
England,352.218414,Total,2021
England,1.487631,"Domestic Aviation",2022
England,119.026700,"Ground Transport",2022
England,60.215736,Industry,2022
England,24.739404,"International Aviation",2022
England,72.852724,Power,2022
England,81.764326,Residential,2022
England,360.086507,Total,2022
England,1.733641,"Domestic Aviation",2023
England,120.197700,"Ground Transport",2023
England,60.686591,Industry,2023
England,30.022632,"International Aviation",2023
England,56.158820,Power,2023
England,82.169636,Residential,2023
England,350.969043,Total,2023
England,2.000013,"Domestic Aviation",2024
England,121.395929,"Ground Transport",2024
England,60.559797,Industry,2024
England,32.050249,"International Aviation",2024
England,46.145774,Power,2024
England,82.384487,Residential,2024
England,344.536246,Total,2024
