Area,"CO2 (Kt)",Sector,Date
Amsterdam,105.505119,Aviation,2024-01
Bangkok,34.360401,Aviation,2024-01
Barcelona,18.112647,Aviation,2024-01
Beijing,278.630735,Aviation,2024-01
Berlin,36.143341,Aviation,2024-01
Bogota,30.779546,Aviation,2024-01
"Cape Town",41.005242,Aviation,2024-01
Chengdu,57.746205,Aviation,2024-01
Chicago,358.203836,Aviation,2024-01
Chongqing,180.499086,Aviation,2024-01
Copenhagen,5.739120,Aviation,2024-01
Hangzhou,106.795052,Aviation,2024-01
Helsinki,7.528414,Aviation,2024-01
Houston,154.505737,Aviation,2024-01
Istanbul,72.756839,Aviation,2024-01
Jinan,47.088042,Aviation,2024-01
London,233.039783,Aviation,2024-01
"Los Angeles",439.298252,Aviation,2024-01
Lyon,0.868396,Aviation,2024-01
Madrid,113.343434,Aviation,2024-01
Marseille,1.660567,Aviation,2024-01
Melbourne,48.495182,Aviation,2024-01
"Mexico City",29.164925,Aviation,2024-01
Miami,206.085806,Aviation,2024-01
Milan,14.624385,Aviation,2024-01
Moscow,45.712970,Aviation,2024-01
Munich,3.443946,Aviation,2024-01
Nanjing,51.260412,Aviation,2024-01
"New Delhi",85.682113,Aviation,2024-01
"New York",389.408847,Aviation,2024-01
Nice,1.825870,Aviation,2024-01
Osaka,58.020915,Aviation,2024-01
Oslo,2.888078,Aviation,2024-01
Paris,70.810700,Aviation,2024-01
Qingdao,61.880609,Aviation,2024-01
Rome,31.835221,Aviation,2024-01
"San Francisco",132.038574,Aviation,2024-01
Santiago,52.246932,Aviation,2024-01
Seattle,133.555966,Aviation,2024-01
Seoul,54.267926,Aviation,2024-01
Shanghai,209.585392,Aviation,2024-01
Stockholm,8.329084,Aviation,2024-01
Sydney,71.712406,Aviation,2024-01
Tokyo,169.260088,Aviation,2024-01
Total,4475.729320,Aviation,2024-01
Washington,219.983176,Aviation,2024-01
Amsterdam,175.814449,"Ground Transport",2024-01
Bangkok,549.492060,"Ground Transport",2024-01
Barcelona,97.241589,"Ground Transport",2024-01
Beijing,1590.075630,"Ground Transport",2024-01
Berlin,145.065276,"Ground Transport",2024-01
Bogota,196.601460,"Ground Transport",2024-01
"Cape Town",172.182924,"Ground Transport",2024-01
Chengdu,501.099987,"Ground Transport",2024-01
Chicago,903.101495,"Ground Transport",2024-01
Chongqing,1143.891311,"Ground Transport",2024-01
Copenhagen,62.477601,"Ground Transport",2024-01
Hangzhou,696.552779,"Ground Transport",2024-01
Helsinki,83.406735,"Ground Transport",2024-01
Houston,644.372378,"Ground Transport",2024-01
Istanbul,455.564420,"Ground Transport",2024-01
Jinan,287.137882,"Ground Transport",2024-01
London,591.519476,"Ground Transport",2024-01
"Los Angeles",1970.577082,"Ground Transport",2024-01
Lyon,25.200058,"Ground Transport",2024-01
Madrid,274.364699,"Ground Transport",2024-01
Marseille,23.605742,"Ground Transport",2024-01
Melbourne,452.213643,"Ground Transport",2024-01
"Mexico City",599.805175,"Ground Transport",2024-01
Miami,548.836313,"Ground Transport",2024-01
Milan,46.143345,"Ground Transport",2024-01
Moscow,164.118587,"Ground Transport",2024-01
Munich,52.749197,"Ground Transport",2024-01
Nanjing,596.366527,"Ground Transport",2024-01
"New Delhi",151.686947,"Ground Transport",2024-01
"New York",1233.182229,"Ground Transport",2024-01
Nice,14.153930,"Ground Transport",2024-01
Osaka,578.463029,"Ground Transport",2024-01
Oslo,12.656818,"Ground Transport",2024-01
Paris,302.433051,"Ground Transport",2024-01
Qingdao,435.409414,"Ground Transport",2024-01
Rome,150.118645,"Ground Transport",2024-01
"San Francisco",567.169650,"Ground Transport",2024-01
Santiago,287.299399,"Ground Transport",2024-01
Seattle,543.850086,"Ground Transport",2024-01
Seoul,906.184808,"Ground Transport",2024-01
Shanghai,1336.667823,"Ground Transport",2024-01
Stockholm,45.602480,"Ground Transport",2024-01
Sydney,325.805436,"Ground Transport",2024-01
Tokyo,941.923377,"Ground Transport",2024-01
Total,21639.009364,"Ground Transport",2024-01
Washington,756.824411,"Ground Transport",2024-01
Amsterdam,496.171059,Industry,2024-01
Bangkok,793.885570,Industry,2024-01
Barcelona,222.227075,Industry,2024-01
Beijing,6471.518808,Industry,2024-01
Berlin,206.198363,Industry,2024-01
Bogota,191.959770,Industry,2024-01
"Cape Town",711.659663,Industry,2024-01
Chengdu,4025.525726,Industry,2024-01
