Area,"CO2 (Mt)",Sector,Date
Anhui,0.307827,Aviation,2024-01
Beijing,0.304469,Aviation,2024-01
Chongqing,0.318075,Aviation,2024-01
Fujian,0.331777,Aviation,2024-01
Gansu,0.129079,Aviation,2024-01
Guangdong,0.339401,Aviation,2024-01
Guangxi,0.067585,Aviation,2024-01
Guizhou,0.233898,Aviation,2024-01
Hainan,0.019460,Aviation,2024-01
Hebei,0.288850,Aviation,2024-01
Heilongjiang,0.130141,Aviation,2024-01
Henan,0.148818,Aviation,2024-01
Hubei,0.133328,Aviation,2024-01
Hunan,0.126382,Aviation,2024-01
"Inner Mongolia",0.151402,Aviation,2024-01
Jiangsu,0.830549,Aviation,2024-01
Jiangxi,0.198374,Aviation,2024-01
Jilin,0.121331,Aviation,2024-01
Liaoning,0.292604,Aviation,2024-01
Ningxia,0.055025,Aviation,2024-01
Qinghai,0.040582,Aviation,2024-01
Shaanxi,0.348712,Aviation,2024-01
Shandong,0.589114,Aviation,2024-01
Shanghai,0.321279,Aviation,2024-01
Shanxi,0.145558,Aviation,2024-01
Sichuan,0.633495,Aviation,2024-01
Tianjin,0.106363,Aviation,2024-01
Tibet,0.028103,Aviation,2024-01
Xinjiang,0.198598,Aviation,2024-01
Yunnan,0.312797,Aviation,2024-01
Zhejiang,0.555365,Aviation,2024-01
Anhui,2.420452,"Ground Transport",2024-01
Beijing,2.593892,"Ground Transport",2024-01
Chongqing,2.584804,"Ground Transport",2024-01
Fujian,2.466279,"Ground Transport",2024-01
Gansu,2.584291,"Ground Transport",2024-01
Guangdong,2.485318,"Ground Transport",2024-01
Guangxi,2.530738,"Ground Transport",2024-01
Guizhou,2.411497,"Ground Transport",2024-01
Hainan,2.658837,"Ground Transport",2024-01
Hebei,2.530798,"Ground Transport",2024-01
Heilongjiang,2.636801,"Ground Transport",2024-01
Henan,2.537521,"Ground Transport",2024-01
Hubei,2.561893,"Ground Transport",2024-01
Hunan,2.578071,"Ground Transport",2024-01
"Inner Mongolia",2.452966,"Ground Transport",2024-01
Jiangsu,2.427510,"Ground Transport",2024-01
Jiangxi,2.484178,"Ground Transport",2024-01
Jilin,2.561501,"Ground Transport",2024-01
Liaoning,2.505822,"Ground Transport",2024-01
Ningxia,2.508635,"Ground Transport",2024-01
Qinghai,2.533092,"Ground Transport",2024-01
Shaanxi,2.603843,"Ground Transport",2024-01
Shandong,2.521393,"Ground Transport",2024-01
Shanghai,2.513579,"Ground Transport",2024-01
Shanxi,2.512473,"Ground Transport",2024-01
Sichuan,2.590592,"Ground Transport",2024-01
Tianjin,2.454321,"Ground Transport",2024-01
Tibet,2.322769,"Ground Transport",2024-01
Xinjiang,2.322769,"Ground Transport",2024-01
Yunnan,2.517674,"Ground Transport",2024-01
Zhejiang,2.437247,"Ground Transport",2024-01
Anhui,10.724797,Industry,2024-01
Beijing,0.425299,Industry,2024-01
Chongqing,4.332996,Industry,2024-01
Fujian,9.679199,Industry,2024-01
Gansu,3.480584,Industry,2024-01
Guangdong,15.790179,Industry,2024-01
Guangxi,12.818247,Industry,2024-01
Guizhou,7.832868,Industry,2024-01
Hainan,0.705723,Industry,2024-01
Hebei,42.868261,Industry,2024-01
Heilongjiang,2.327085,Industry,2024-01
Henan,11.024375,Industry,2024-01
Hubei,20.034285,Industry,2024-01
Hunan,7.723718,Industry,2024-01
"Inner Mongolia",7.722815,Industry,2024-01
Jiangsu,31.848294,Industry,2024-01
Jiangxi,7.411140,Industry,2024-01
Jilin,3.342696,Industry,2024-01
Liaoning,16.072189,Industry,2024-01
Ningxia,1.427685,Industry,2024-01
Qinghai,1.056899,Industry,2024-01
Shaanxi,4.170166,Industry,2024-01
Shandong,27.570777,Industry,2024-01
Shanghai,3.405838,Industry,2024-01
Shanxi,11.410517,Industry,2024-01
Sichuan,13.719719,Industry,2024-01
Tianjin,5.321350,Industry,2024-01
Tibet,0.073525,Industry,2024-01
Xinjiang,4.081963,Industry,2024-01
Yunnan,15.837970,Industry,2024-01
Zhejiang,12.977900,Industry,2024-01
Anhui,23.798812,Power,2024-01
Beijing,2.804496,Power,2024-01
Chongqing,4.683013,Power,2024-01
Fujian,8.534996,Power,2024-01
Gansu,9.732508,Power,2024-01
Guangdong,18.621201,Power,2024-01
Guangxi,8.075509,Power,2024-01
Guizhou,8.798094,Power,2024-01
Hainan,1.527642,Power,2024-01
Hebei,29.449563,Power,2024-01
Heilongjiang,6.862435,Power,2024-01
Henan,21.732842,Power,2024-01
Hubei,10.304858,Power,2024-01
Hunan,7.742998,Power,2024-01
"Inner Mongolia",49.748012,Power,2024-01
Jiangsu,32.057232,Power,2024-01
Jiangxi,7.361118,Power,2024-01
Jilin,5.413683,Power,2024-01
Liaoning,11.469360,Power,2024-01
Ningxia,10.914156,Power,2024-01
Qinghai,2.640955,Power,2024-01
Shaanxi,20.996692,Power,2024-01
Shandong,40.820229,Power,2024-01
Shanghai,4.564093,Power,2024-01
Shanxi,27.460009,Power,2024-01
Sichuan,6.938424,Power,2024-01
Tianjin,6.285881,Power,2024-01
Tibet,0.016907,Power,2024-01
Xinjiang,27.887050,Power,2024-01
Yunnan,4.956519,Power,2024-01
Zhejiang,14.347645,Power,2024-01
Anhui,0.328100,Residential,2024-01
Beijing,7.519046,Residential,2024-01
Chongqing,0.000000,Residential,2024-01
Fujian,0.000000,Residential,2024-01
Gansu,3.087143,Residential,2024-01
Guangdong,0.000000,Residential,2024-01
Guangxi,0.000000,Residential,2024-01
Guizhou,0.020486,Residential,2024-01
Hainan,0.000000,Residential,2024-01
Hebei,10.536193,Residential,2024-01
Heilongjiang,9.554619,Residential,2024-01
Henan,6.324006,Residential,2024-01
Hubei,0.212926,Residential,2024-01
Hunan,0.000000,Residential,2024-01
"Inner Mongolia",7.497903,Residential,2024-01
Jiangsu,0.013910,Residential,2024-01
Jiangxi,0.000000,Residential,2024-01
Jilin,7.644362,Residential,2024-01
Liaoning,15.306224,Residential,2024-01
Ningxia,1.666835,Residential,2024-01
Qinghai,0.943637,Residential,2024-01
Shaanxi,5.289204,Residential,2024-01
Shandong,19.052036,Residential,2024-01
Shanghai,0.000000,Residential,2024-01
Shanxi,8.533403,Residential,2024-01
Sichuan,0.000000,Residential,2024-01
Tianjin,6.270599,Residential,2024-01
Tibet,0.016913,Residential,2024-01
Xinjiang,5.240502,Residential,2024-01
Yunnan,0.020732,Residential,2024-01
Zhejiang,0.000000,Residential,2024-01
Anhui,37.579988,Total,2024-01
Beijing,13.647202,Total,2024-01
Chongqing,11.918891,Total,2024-01
Fujian,21.012252,Total,2024-01
Gansu,19.013608,Total,2024-01
Guangdong,37.236102,Total,2024-01
Guangxi,23.492080,Total,2024-01
Guizhou,19.296837,Total,2024-01
Hainan,4.911662,Total,2024-01
Hebei,85.673667,Total,2024-01
Heilongjiang,21.511083,Total,2024-01
Henan,41.767558,Total,2024-01
Hubei,33.247285,Total,2024-01
Hunan,18.171172,Total,2024-01
"Inner Mongolia",67.573102,Total,2024-01
Jiangsu,67.177493,Total,2024-01
Jiangxi,17.454811,Total,2024-01
Jilin,19.083575,Total,2024-01
Liaoning,45.646202,Total,2024-01
Ningxia,16.572340,Total,2024-01
Qinghai,7.215171,Total,2024-01
Shaanxi,33.408615,Total,2024-01
Shandong,90.553556,Total,2024-01
Shanghai,10.804790,Total,2024-01
Shanxi,50.061961,Total,2024-01
Sichuan,23.882223,Total,2024-01
Tianjin,20.438516,Total,2024-01
Tibet,2.458213,Total,2024-01
Xinjiang,39.730881,Total,2024-01
Yunnan,23.645696,Total,2024-01
Zhejiang,30.318154,Total,2024-01
Anhui,0.306521,Aviation,2024-02
Beijing,0.303174,Aviation,2024-02
Chongqing,0.324166,Aviation,2024-02
Fujian,0.330366,Aviation,2024-02
Gansu,0.131550,Aviation,2024-02
Guangdong,0.341903,Aviation,2024-02
Guangxi,0.068083,Aviation,2024-02
Guizhou,0.238377,Aviation,2024-02
Hainan,0.019605,Aviation,2024-02
Hebei,0.287621,Aviation,2024-02
Heilongjiang,0.133028,Aviation,2024-02
Henan,0.149915,Aviation,2024-02
Hubei,0.134311,Aviation,2024-02
Hunan,0.127314,Aviation,2024-02
"Inner Mongolia",0.150759,Aviation,2024-02
Jiangsu,0.827022,Aviation,2024-02
Jiangxi,0.197530,Aviation,2024-02
Jilin,0.124025,Aviation,2024-02
Liaoning,0.299097,Aviation,2024-02
Ningxia,0.056079,Aviation,2024-02
Qinghai,0.041361,Aviation,2024-02
Shaanxi,0.355385,Aviation,2024-02
Shandong,0.586614,Aviation,2024-02
Shanghai,0.319915,Aviation,2024-02
Shanxi,0.144944,Aviation,2024-02
Sichuan,0.645619,Aviation,2024-02
Tianjin,0.105912,Aviation,2024-02
Tibet,0.028640,Aviation,2024-02
Xinjiang,0.202401,Aviation,2024-02
Yunnan,0.318784,Aviation,2024-02
Zhejiang,0.553004,Aviation,2024-02
Anhui,2.095355,"Ground Transport",2024-02
Beijing,2.086868,"Ground Transport",2024-02
Chongqing,2.137745,"Ground Transport",2024-02
Fujian,2.063736,"Ground Transport",2024-02
Gansu,2.197910,"Ground Transport",2024-02
Guangdong,2.054041,"Ground Transport",2024-02
Guangxi,2.113360,"Ground Transport",2024-02
Guizhou,2.022843,"Ground Transport",2024-02
Hainan,2.176131,"Ground Transport",2024-02
Hebei,2.178271,"Ground Transport",2024-02
Heilongjiang,2.120021,"Ground Transport",2024-02
Henan,2.206551,"Ground Transport",2024-02
Hubei,2.181987,"Ground Transport",2024-02
Hunan,2.114932,"Ground Transport",2024-02
"Inner Mongolia",2.085993,"Ground Transport",2024-02
Jiangsu,2.115614,"Ground Transport",2024-02
Jiangxi,2.077586,"Ground Transport",2024-02
Jilin,2.129140,"Ground Transport",2024-02
Liaoning,2.095337,"Ground Transport",2024-02
Ningxia,2.187135,"Ground Transport",2024-02
Qinghai,2.123772,"Ground Transport",2024-02
Shaanxi,2.186808,"Ground Transport",2024-02
Shandong,2.185899,"Ground Transport",2024-02
Shanghai,2.105925,"Ground Transport",2024-02
Shanxi,2.166747,"Ground Transport",2024-02
Sichuan,2.149995,"Ground Transport",2024-02
Tianjin,2.057011,"Ground Transport",2024-02
Tibet,2.006659,"Ground Transport",2024-02
Xinjiang,2.006659,"Ground Transport",2024-02
Yunnan,2.082718,"Ground Transport",2024-02
Zhejiang,2.048089,"Ground Transport",2024-02
Anhui,9.321554,Industry,2024-02
Beijing,0.369650,Industry,2024-02
Chongqing,3.766064,Industry,2024-02
Fujian,8.412762,Industry,2024-02
Gansu,3.025181,Industry,2024-02
Guangdong,13.724176,Industry,2024-02
Guangxi,11.141096,Industry,2024-02
Guizhou,6.808006,Industry,2024-02
Hainan,0.613386,Industry,2024-02
Hebei,37.259331,Industry,2024-02
Heilongjiang,2.022604,Industry,2024-02
Henan,9.581933,Industry,2024-02
Hubei,17.412976,Industry,2024-02
Hunan,6.713135,Industry,2024-02
"Inner Mongolia",6.712351,Industry,2024-02
Jiangsu,27.681226,Industry,2024-02
Jiangxi,6.441463,Industry,2024-02
Jilin,2.905333,Industry,2024-02
Liaoning,13.969286,Industry,2024-02
Ningxia,1.240886,Industry,2024-02
Qinghai,0.918614,Industry,2024-02
Shaanxi,3.624535,Industry,2024-02
Shandong,23.963386,Industry,2024-02
Shanghai,2.960215,Industry,2024-02
Shanxi,9.917550,Industry,2024-02
Sichuan,11.924614,Industry,2024-02
Tianjin,4.625098,Industry,2024-02
Tibet,0.063905,Industry,2024-02
