Area,"CO2 (Mt)",Sector,Date
China,62.458511,"Domestic Aviation",2019
China,923.995146,"Ground Transport",2019
China,4101.705510,Industry,2019
China,22.066690,"International Aviation",2019
China,4569.015997,Power,2019
China,804.380392,Residential,2019
China,10461.555582,Total,2019
China,50.043748,"Domestic Aviation",2020
China,808.948180,"Ground Transport",2020
China,4283.742386,Industry,2020
China,10.952010,"International Aviation",2020
China,4655.071934,Power,2020
China,808.110182,Residential,2020
China,10605.916404,Total,2020
China,56.981905,"Domestic Aviation",2021
China,907.484108,"Ground Transport",2021
China,4332.673916,Industry,2021
China,9.988350,"International Aviation",2021
China,5076.468767,Power,2021
China,798.531482,Residential,2021
China,11172.140169,Total,2021
China,34.724914,"Domestic Aviation",2022
China,875.069776,"Ground Transport",2022
China,4177.361389,Industry,2022
China,8.342412,"International Aviation",2022
China,5225.246343,Power,2022
China,816.243861,Residential,2022
China,11128.646302,Total,2022
China,70.357827,"Domestic Aviation",2023
China,924.275893,"Ground Transport",2023
China,4131.776177,Industry,2023
China,13.218609,"International Aviation",2023
China,5480.924098,Power,2023
China,797.366258,Residential,2023
China,11404.700246,Total,2023
China,75.615831,"Domestic Aviation",2024
China,920.413916,"Ground Transport",2024
China,4024.451314,Industry,2024
China,18.514360,"International Aviation",2024
China,5580.298584,Power,2024
China,799.221485,Residential,2024
China,11400.001112,Total,2024
