Area,"CO2 (Mt)",Sector,Date
Russia,15.421512,"Domestic Aviation",2019
Russia,232.372603,"Ground Transport",2019
Russia,284.324309,Industry,2019
Russia,5.179288,"International Aviation",2019
Russia,840.398916,Power,2019
Russia,172.031818,Residential,2019
Russia,1544.549152,Total,2019
Russia,13.372733,"Domestic Aviation",2020
Russia,222.812643,"Ground Transport",2020
Russia,287.868071,Industry,2020
Russia,2.321162,"International Aviation",2020
Russia,787.409486,Power,2020
Russia,165.454957,Residential,2020
Russia,1476.917889,Total,2020
Russia,18.664393,"Domestic Aviation",2021
Russia,232.167517,"Ground Transport",2021
Russia,302.454666,Industry,2021
Russia,3.091268,"International Aviation",2021
Russia,828.181360,Power,2021
Russia,181.643207,Residential,2021
Russia,1563.111161,Total,2021
Russia,17.431712,"Domestic Aviation",2022
Russia,227.197962,"Ground Transport",2022
Russia,303.265823,Industry,2022
Russia,1.886402,"International Aviation",2022
Russia,837.044631,Power,2022
Russia,177.104444,Residential,2022
Russia,1562.044569,Total,2022
Russia,17.695741,"Domestic Aviation",2023
Russia,230.607740,"Ground Transport",2023
Russia,325.585752,Industry,2023
Russia,2.431274,"International Aviation",2023
Russia,858.618682,Power,2023
Russia,170.063863,Residential,2023
Russia,1602.571766,Total,2023
Russia,17.394784,"Domestic Aviation",2024
Russia,236.213352,"Ground Transport",2024
Russia,353.388488,Industry,2024
Russia,2.739693,"International Aviation",2024
Russia,887.204601,Power,2024
Russia,171.394451,Residential,2024
Russia,1665.595678,Total,2024
