Area,"CO2 (Mt)",Sector,Date
WORLD,363.702304,"Domestic Aviation",2019
WORLD,6508.078336,"Ground Transport",2019
WORLD,10016.059226,Industry,2019
WORLD,671.226780,"International Aviation",2019
WORLD,730.262554,"International Shipping",2019
WORLD,13525.384630,Power,2019
WORLD,3568.183307,Residential,2019
WORLD,35382.897142,Total,2019
WORLD,255.192121,"Domestic Aviation",2020
WORLD,5798.953729,"Ground Transport",2020
WORLD,9798.835996,Industry,2020
WORLD,306.913665,"International Aviation",2020
WORLD,715.482751,"International Shipping",2020
WORLD,12953.894953,Power,2020
WORLD,3511.257393,Residential,2020
WORLD,33340.530585,Total,2020
WORLD,323.078590,"Domestic Aviation",2021
WORLD,6306.934215,"Ground Transport",2021
WORLD,10300.559647,Industry,2021
WORLD,350.647160,"International Aviation",2021
WORLD,721.799910,"International Shipping",2021
WORLD,13720.901168,Power,2021
WORLD,3524.675313,Residential,2021
WORLD,35248.596003,Total,2021
WORLD,306.842896,"Domestic Aviation",2022
WORLD,6466.514373,"Ground Transport",2022
WORLD,10450.517627,Industry,2022
WORLD,495.540766,"International Aviation",2022
WORLD,710.093471,"International Shipping",2022
WORLD,13980.451651,Power,2022
WORLD,3558.063778,Residential,2022
WORLD,35968.024560,Total,2022
WORLD,358.143361,"Domestic Aviation",2023
WORLD,6663.800342,"Ground Transport",2023
WORLD,10384.192646,Industry,2023
WORLD,602.430624,"International Aviation",2023
WORLD,709.669580,"International Shipping",2023
WORLD,13995.846817,Power,2023
WORLD,3362.938699,Residential,2023
WORLD,36077.022052,Total,2023
WORLD,372.552728,"Domestic Aviation",2024
WORLD,6801.636335,"Ground Transport",2024
WORLD,10365.811454,Industry,2024
WORLD,665.905809,"International Aviation",2024
WORLD,682.007035,"International Shipping",2024
WORLD,14213.427906,Power,2024
WORLD,3399.302146,Residential,2024
WORLD,36500.643401,Total,2024
WORLD,120.008453,"Domestic Aviation",2025
WORLD,2250.804062,"Ground Transport",2025
WORLD,3386.268821,Industry,2025
WORLD,215.075236,"International Aviation",2025
WORLD,229.045028,"International Shipping",2025
WORLD,4566.051024,Power,2025
WORLD,1554.686186,Residential,2025
WORLD,12321.938813,Total,2025
