Area,"CO2 (Mt)",Sector,Date
India,7.195754,"Domestic Aviation",2019
India,299.629719,"Ground Transport",2019
India,751.124361,Industry,2019
India,5.040508,"International Aviation",2019
India,1197.643096,Power,2019
India,204.052724,Residential,2019
India,2459.645664,Total,2019
India,3.773447,"Domestic Aviation",2020
India,258.160398,"Ground Transport",2020
India,655.950894,Industry,2020
India,2.522969,"International Aviation",2020
India,1140.583047,Power,2020
India,201.618091,Residential,2020
India,2260.085877,Total,2020
India,5.072064,"Domestic Aviation",2021
India,268.914041,"Ground Transport",2021
India,744.472190,Industry,2021
India,2.630470,"International Aviation",2021
India,1279.025555,Power,2021
India,184.706522,Residential,2021
India,2482.190377,Total,2021
India,6.373199,"Domestic Aviation",2022
India,290.621133,"Ground Transport",2022
India,774.121841,Industry,2022
India,4.271954,"International Aviation",2022
India,1391.525922,Power,2022
India,191.221526,Residential,2022
India,2653.863629,Total,2022
India,7.411432,"Domestic Aviation",2023
India,291.552959,"Ground Transport",2023
India,814.937614,Industry,2023
India,5.372885,"International Aviation",2023
India,1598.661245,Power,2023
India,180.307573,Residential,2023
India,2892.870824,Total,2023
India,8.037210,"Domestic Aviation",2024
India,293.675197,"Ground Transport",2024
India,849.433852,Industry,2024
India,5.978047,"International Aviation",2024
India,1680.270478,Power,2024
India,197.930373,Residential,2024
India,3029.347122,Total,2024
