Area,"CO2 (Mt)",Sector,Date
Germany,2.124092,"Domestic Aviation",2019
Germany,150.481395,"Ground Transport",2019
Germany,124.054475,Industry,2019
Germany,12.464476,"International Aviation",2019
Germany,243.217208,Power,2019
Germany,138.213682,Residential,2019
Germany,658.090837,Total,2019
Germany,1.168628,"Domestic Aviation",2020
Germany,149.137729,"Ground Transport",2020
Germany,113.018193,Industry,2020
Germany,5.813237,"International Aviation",2020
Germany,204.614930,Power,2020
Germany,134.130095,Residential,2020
Germany,602.069588,Total,2020
Germany,1.317422,"Domestic Aviation",2021
Germany,150.419538,"Ground Transport",2021
Germany,118.457366,Industry,2021
Germany,7.042159,"International Aviation",2021
Germany,240.036218,Power,2021
Germany,150.590715,Residential,2021
Germany,660.821264,Total,2021
Germany,1.682781,"Domestic Aviation",2022
Germany,149.582538,"Ground Transport",2022
Germany,118.190833,Industry,2022
Germany,10.214009,"International Aviation",2022
Germany,250.082809,Power,2022
Germany,134.732810,Residential,2022
Germany,654.271773,Total,2022
Germany,1.819354,"Domestic Aviation",2023
Germany,152.827736,"Ground Transport",2023
Germany,116.808823,Industry,2023
Germany,11.310087,"International Aviation",2023
Germany,197.120446,Power,2023
Germany,131.970609,Residential,2023
Germany,600.546984,Total,2023
Germany,1.967288,"Domestic Aviation",2024
Germany,151.845984,"Ground Transport",2024
Germany,111.152488,Industry,2024
Germany,11.826098,"International Aviation",2024
Germany,178.486307,Power,2024
Germany,130.518482,Residential,2024
Germany,573.970569,Total,2024
