Area,"CO2 (Mt)",Sector,Date
"United States",173.726684,"Domestic Aviation",2019
"United States",1645.393063,"Ground Transport",2019
"United States",999.593909,Industry,2019
"United States",81.642590,"International Aviation",2019
"United States",1605.907498,Power,2019
"United States",605.181929,Residential,2019
"United States",5029.803007,Total,2019
"United States",120.984365,"Domestic Aviation",2020
"United States",1486.671441,"Ground Transport",2020
"United States",953.197787,Industry,2020
"United States",44.213370,"International Aviation",2020
"United States",1436.348233,Power,2020
"United States",556.161567,Residential,2020
"United States",4553.363321,Total,2020
"United States",158.896469,"Domestic Aviation",2021
"United States",1592.589011,"Ground Transport",2021
"United States",976.614820,Industry,2021
"United States",53.928422,"International Aviation",2021
"United States",1535.525340,Power,2021
"United States",564.169742,Residential,2021
"United States",4827.795300,Total,2021
"United States",152.629765,"Domestic Aviation",2022
"United States",1555.162514,"Ground Transport",2022
"United States",1025.060786,Industry,2022
"United States",66.376342,"International Aviation",2022
"United States",1643.245161,Power,2022
"United States",604.446462,Residential,2022
"United States",4980.544664,Total,2022
"United States",155.831667,"Domestic Aviation",2023
"United States",1570.178078,"Ground Transport",2023
"United States",1028.780620,Industry,2023
"United States",73.571454,"International Aviation",2023
"United States",1584.131796,Power,2023
"United States",525.704473,Residential,2023
"United States",4864.626646,Total,2023
"United States",160.966725,"Domestic Aviation",2024
"United States",1635.279677,"Ground Transport",2024
"United States",1024.766489,Industry,2024
"United States",79.480497,"International Aviation",2024
"United States",1608.615817,Power,2024
"United States",523.538995,Residential,2024
"United States",4953.167695,Total,2024
